created_on,privilege,granted_on,name,granted_to,grantee_name,grant_option,granted_by
2024-10-09 10:02:08.259 -0700,OWNERSHIP,FILE_FORMAT,PROD_UPLAND_BRONZE_DB.NETWORK_ADJUSTERS.NETADJ_CSV,ROLE,SYSADMIN,true,SYSADMIN
2024-10-09 10:02:09.675 -0700,OWNERSHIP,FILE_FORMAT,PROD_UPLAND_BRONZE_DB.NETWORK_ADJUSTERS.NETADJ_HEADER,ROLE,SYSADMIN,true,SYSADMIN
2024-10-02 09:24:37.033 -0700,OWNERSHIP,FILE_FORMAT,PROD_UPLAND_BRONZE_DB.NETWORK_ADJUSTERS_CSV.NETADJ_CSV,ROLE,SYSADMIN,true,SYSADMIN
2024-10-02 09:24:41.735 -0700,OWNERSHIP,FILE_FORMAT,PROD_UPLAND_BRONZE_DB.NETWORK_ADJUSTERS_CSV.NETADJ_HEADER,ROLE,SYSADMIN,true,SYSADMIN
2024-04-26 04:34:32.066 -0700,OWNERSHIP,FILE_FORMAT,TEST_CLONE_DB.NETWORK_ADJUSTERS_MONTH_END_REPORT.SPECIALTY_COMBINED_FF,ROLE,SYSADMIN,true,SYSADMIN
2024-09-11 14:30:02.544 -0700,OWNERSHIP,FILE_FORMAT,UPLAND_MAINTENANCE.OMS.OMS_STAGING_CSV,ROLE,SYSADMIN,true,SYSADMIN
2024-09-11 14:30:19.918 -0700,OWNERSHIP,FILE_FORMAT,UPLAND_MAINTENANCE.OMS.OMS_STAGING_CSV_HEADER,ROLE,SYSADMIN,true,SYSADMIN
2024-06-21 09:42:08.918 -0700,OWNERSHIP,FUNCTION,"DEV_UPLAND_SILVER_DB.CALCULATION.""GET_INSURED_ADDRESS_MATCHES(INSURED_ADDRESS_INPUT VARCHAR, MATCH_INDEX_INPUT NUMBER):TABLE: (INSURED_PRIMARY_UID VARCHAR, INSURED_NAME VARCHAR, INSURED_ADDRESS_1 VARCHAR, INSURED_CITY VARCHAR, INSURED_STATE VARCHAR, INSURED_ZIP VARCHAR, TAX_ID VARCHAR, DOT_NUMBER VARCHAR, INSURED_PHONE VARCHAR, INSURED_ALTERNATE_NAME_TYPE VARCHAR, INSURED_ALTERNATE_NAME VARCHAR, MATCH_VALUE NUMBER)""",ROLE,SYSADMIN,true,SYSADMIN
2024-06-21 09:44:41.183 -0700,OWNERSHIP,FUNCTION,"DEV_UPLAND_SILVER_DB.CALCULATION.""GET_INSURED_ALTERNATE_NAME_MATCHES(INSURED_ALTERNATE_NAME_INPUT VARCHAR, MATCH_INDEX_INPUT NUMBER):TABLE: (INSURED_PRIMARY_UID VARCHAR, INSURED_NAME VARCHAR, INSURED_ADDRESS_1 VARCHAR, INSURED_CITY VARCHAR, INSURED_STATE VARCHAR, INSURED_ZIP VARCHAR, TAX_ID VARCHAR, DOT_NUMBER VARCHAR, INSURED_PHONE VARCHAR, INSURED_ALTERNATE_NAME_CODE VARCHAR, INSURED_ALTERNATE_NAME VARCHAR, MATCH_VALUE NUMBER)""",ROLE,SYSADMIN,true,SYSADMIN
2024-06-21 09:45:42.571 -0700,OWNERSHIP,FUNCTION,"DEV_UPLAND_SILVER_DB.CALCULATION.""GET_INSURED_NAME_MATCHES(INSURED_NAME_INPUT VARCHAR, MATCH_INDEX_INPUT NUMBER):TABLE: (INSURED_PRIMARY_UID VARCHAR, INSURED_NAME VARCHAR, INSURED_ADDRESS_1 VARCHAR, INSURED_CITY VARCHAR, INSURED_STATE VARCHAR, INSURED_ZIP VARCHAR, TAX_ID VARCHAR, DOT_NUMBER VARCHAR, INSURED_PHONE VARCHAR, INSURED_ALTERNATE_NAME_CODE VARCHAR, INSURED_ALTERNATE_NAME VARCHAR, MATCH_VALUE NUMBER)""",ROLE,SYSADMIN,true,SYSADMIN
